ISBN,Book-Title,Book-Author,Year-Of-Publication,Original-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
841,"Men, Women and Ghosts","Lowell, Amy, 1874-1925",1997,,,https://www.gutenberg.org/cache/epub/841/pg841.cover.medium.jpg,https://www.gutenberg.org/cache/epub/841/pg841.cover.medium.jpg,https://www.gutenberg.org/cache/epub/841/pg841.cover.medium.jpg
842,Memoirs of Carwin the Biloquist (A Fragment),"Brown, Charles Brockden, 1771-1810",1997,,,https://www.gutenberg.org/cache/epub/842/pg842.cover.medium.jpg,https://www.gutenberg.org/cache/epub/842/pg842.cover.medium.jpg,https://www.gutenberg.org/cache/epub/842/pg842.cover.medium.jpg
843,The Life of Francis Marion,"Simms, William Gilmore, 1806-1870",1997,,,https://www.gutenberg.org/cache/epub/843/pg843.cover.medium.jpg,https://www.gutenberg.org/cache/epub/843/pg843.cover.medium.jpg,https://www.gutenberg.org/cache/epub/843/pg843.cover.medium.jpg
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar, 1854-1900",1997,,,https://www.gutenberg.org/cache/epub/844/pg844.cover.medium.jpg,https://www.gutenberg.org/cache/epub/844/pg844.cover.medium.jpg,https://www.gutenberg.org/cache/epub/844/pg844.cover.medium.jpg
845,Poems of Henry Timrod; with Memoir,"Timrod, Henry, 1828-1867",1997,,,https://www.gutenberg.org/cache/epub/845/pg845.cover.medium.jpg,https://www.gutenberg.org/cache/epub/845/pg845.cover.medium.jpg,https://www.gutenberg.org/cache/epub/845/pg845.cover.medium.jpg
846,The Life of General Francis Marion,"Weems, M. L. (Mason Locke), 1759-1825",1997,,,https://www.gutenberg.org/cache/epub/846/pg846.cover.medium.jpg,https://www.gutenberg.org/cache/epub/846/pg846.cover.medium.jpg,https://www.gutenberg.org/cache/epub/846/pg846.cover.medium.jpg
847,Lays of Ancient Rome,"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",2006,,,https://www.gutenberg.org/cache/epub/847/pg847.cover.medium.jpg,https://www.gutenberg.org/cache/epub/847/pg847.cover.medium.jpg,https://www.gutenberg.org/cache/epub/847/pg847.cover.medium.jpg
848,The Black Arrow: A Tale of the Two Roses,"Stevenson, Robert Louis, 1850-1894",1997,,,https://www.gutenberg.org/cache/epub/848/pg848.cover.medium.jpg,https://www.gutenberg.org/cache/epub/848/pg848.cover.medium.jpg,https://www.gutenberg.org/cache/epub/848/pg848.cover.medium.jpg
849,The Idle Thoughts of an Idle Fellow,"Jerome, Jerome K. (Jerome Klapka), 1859-1927",1997,,,https://www.gutenberg.org/cache/epub/849/pg849.cover.medium.jpg,https://www.gutenberg.org/cache/epub/849/pg849.cover.medium.jpg,https://www.gutenberg.org/cache/epub/849/pg849.cover.medium.jpg
850,Tom Grogan,"Smith, Francis Hopkinson, 1838-1915",1997,,,https://www.gutenberg.org/cache/epub/850/pg850.cover.medium.jpg,https://www.gutenberg.org/cache/epub/850/pg850.cover.medium.jpg,https://www.gutenberg.org/cache/epub/850/pg850.cover.medium.jpg
51,Anne of the Island,"Montgomery, L. M. (Lucy Maud), 1874-1942",2006,,,https://www.gutenberg.org/cache/epub/51/pg51.cover.medium.jpg,https://www.gutenberg.org/cache/epub/51/pg51.cover.medium.jpg,https://www.gutenberg.org/cache/epub/51/pg51.cover.medium.jpg
52,The Square Root of 2,"Kerr, Stan",1993,,,https://www.gutenberg.org/cache/epub/52/pg52.cover.medium.jpg,https://www.gutenberg.org/cache/epub/52/pg52.cover.medium.jpg,https://www.gutenberg.org/cache/epub/52/pg52.cover.medium.jpg
53,"Workshop on Electronic Texts: Proceedings, 9-10 June 1992",Library of Congress,1993,,,https://www.gutenberg.org/cache/epub/53/pg53.cover.medium.jpg,https://www.gutenberg.org/cache/epub/53/pg53.cover.medium.jpg,https://www.gutenberg.org/cache/epub/53/pg53.cover.medium.jpg
54,The Marvelous Land of Oz,"Baum, L. Frank (Lyman Frank), 1856-1919",1993,,,https://www.gutenberg.org/cache/epub/54/pg54.cover.medium.jpg,https://www.gutenberg.org/cache/epub/54/pg54.cover.medium.jpg,https://www.gutenberg.org/cache/epub/54/pg54.cover.medium.jpg
55,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank), 1856-1919",1993,,,https://www.gutenberg.org/cache/epub/55/pg55.cover.medium.jpg,https://www.gutenberg.org/cache/epub/55/pg55.cover.medium.jpg,https://www.gutenberg.org/cache/epub/55/pg55.cover.medium.jpg
56,NREN for All: Insurmountable Opportunity,"Polly, Jean Armour",1993,,,https://www.gutenberg.org/cache/epub/56/pg56.cover.medium.jpg,https://www.gutenberg.org/cache/epub/56/pg56.cover.medium.jpg,https://www.gutenberg.org/cache/epub/56/pg56.cover.medium.jpg
57,Aladdin and the Magic Lamp,Unknown,1993,,,https://www.gutenberg.org/cache/epub/57/pg57.cover.medium.jpg,https://www.gutenberg.org/cache/epub/57/pg57.cover.medium.jpg,https://www.gutenberg.org/cache/epub/57/pg57.cover.medium.jpg
